Brand,url,title,Network,Price,doc_id,raw_html,Condition,Model,Memory,Bundled Items
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S8-Plus-Black-SM-G955F-LTE-64GB-4G-Factory-Unlocked-UK/528626300?st_id=61696335
",Samsung Galaxy S8 Plus Black SM-G955F LTE 64GB 4G Factory Unlocked UK,Unlocked,708.84,37,.,fair,Galaxy S8 Plus,64,
Samsung,"https://www.bonanza.com/listings/Nice-Smooth-Mint-Baby-Blue-Unlocked-64gb-Samsung-S8-More-/527564228?st_id=61696335
",Nice & Smooth Mint Baby Blue Unlocked 64gb Samsung S8 & More!!,Unlocked,574.99,38,.,fair,Galaxy S8,64,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-Note-5-SM-N920V-32GB-Smartphone-for-Verizon-gold/462265625?st_id=61696335
",Samsung Galaxy Note 5 SM-N920V 32GB Smartphone for Verizon gold,Verizon,309.99,39,.,fair,Galaxy Note 5,32,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S4-Mini-SCH-R890-U-S-Cellular-Android-Smartphone-16GB/526422491?st_id=61696335
",Samsung Galaxy S4 Mini SCH-R890 (U.S. Cellular) Android Smartphone 16GB,Unlocked,40.0,40,.,fair, Galaxy S4 Mini,16,
Samsung,"https://www.bonanza.com/listings/Total-Wireless-Samsung-Galaxy-Sky-4G-LTE-with-16GB-Memory-Prepaid-Cell-Phon-/529193851?st_id=61696335
",Total Wireless - Samsung Galaxy Sky 4G LTE with 16GB Memory Prepaid Cell Phon...,Unlocked,69.3,41,.,fair, Galaxy S,16,
Samsung,"https://www.bonanza.com/listings/Mint-Samsung-Galaxy-S7-G930a-AT-T-Global-GSM-Unlock-32GB-Smartphone-Black/526901514?st_id=61696335
",Mint Samsung Galaxy S7 G930a AT&T Global GSM Unlock 32GB Smartphone Black,AT&T,237.55,42,.,fair, Galaxy S7,32,"Adapter, Cable"
Samsung,"https://www.bonanza.com/listings/mint-Samsung-Galaxy-S6-Edge-32GB-white-SM-G925T-Unlocked-GSM-T-Mobile-4G-Android/462312496?st_id=61696335
",mint Samsung Galaxy S6 Edge 32GB white SM-G925T Unlocked GSM T-Mobile 4G Android,Unlocked,289.0,43,.,fair, Galaxy S6 edge,32,
Samsung,"https://www.bonanza.com/listings/MinT-mobile-Samsung-Galaxy-S6-White-Unlocked-Smartphone-More-/453788430?st_id=61696335
",MinT-mobile Samsung Galaxy S6 White Unlocked Smartphone & More!,Unlocked,274.99,44,.,fair, Galaxy S6,32,Case
Samsung,"https://www.bonanza.com/listings/Used-Samsung-Galaxy-Grand-Prime-SM-S920L-Tracfone-Clean-ESN-Grey-8GB-Fair-852/500115169?st_id=61696335
",Used Samsung Galaxy Grand Prime SM-S920L Tracfone Clean ESN Grey 8GB Fair 852,Unlocked,39.27,45,.,fair, Galaxy S,1.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-Note-4-T-Mobile-Used-Still-Has-Original-Packaging-S-Pen-Works/525510864?st_id=61696335
",Samsung Galaxy Note 4 T Mobile.Used.Still Has Original Packaging & S Pen. Works,Unlocked,241.56,46,.,fair, Galaxy Note 4,32,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-Note5-SM-N920A-64GB-White-Pearl-ATT-Smartphone/524322624?st_id=61696335
",Samsung Galaxy Note5 SM-N920A - 64GB - White Pearl (ATT) Smartphone,AT&T,275.0,47,.,fair,Galaxy Note 5,64,Case
Samsung,"https://www.bonanza.com/listings/Samsung-SCH-U680-Convoy-3-Verizon-Rugged-MIL-SPEC-3-2MP-Cell-Phone-Very-Clean-3/523922624?st_id=61696335
",Samsung SCH-U680 Convoy 3 Verizon Rugged MIL-SPEC 3.2MP Cell Phone Very Clean #3,Verizon,22.32,48,.,fair, Focus 2,1.0,
Samsung,"https://www.bonanza.com/listings/Pre-Owned-Verizon-Samsung-SCH-U350-Flip-Cell-Phone/510247345?st_id=61696335
",Pre-Owned Verizon Samsung SCH-U350 Flip Cell Phone,Verizon,10.89,49,.,fair,SCH-U350,8.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-Mega-SPH-L600-16GB-White-Sprint-Smartphone/529711244?st_id=61696335
",Samsung Galaxy Mega SPH-L600 - 16GB - White (Sprint) Smartphone,Sprint,128.65,50,.,fair, Galaxy Mega,16,
Samsung,"https://www.bonanza.com/listings/Good-Gold-Almighty-Samsung-Galaxy-S7-More-/470474122?st_id=61696335
",Good Gold Almighty! Samsung Galaxy S7 & More!!,Unlocked,364.99,51,.,fair, Galaxy S7,32,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S5-Active-SM-G870A-16GB-Camo-Green-AT-T-Clean-IMEI-ESN/499045757?st_id=61696335
",Samsung Galaxy S5 Active SM-G870A - 16GB - Camo Green (AT&T) Clean IMEI / ESN,AT&T,89.1,52,.,fair, Galaxy S5,16,
Samsung,"https://www.bonanza.com/listings/Samsung-SGH-T301G-Black-TracFone-Cellular-Phone/524181892?st_id=61696335
",Samsung SGH T301G - Black (TracFone) Cellular Phone,Unlocked,7.99,53,.,fair,SGH-T301T,8.0,
Samsung,"https://www.bonanza.com/listings/-Mint-Unlocked-Cricket-Samsung-Galaxy-s8-w-Warranty-More-/531009501?st_id=61696335
","""Mint"" Unlocked Cricket Samsung Galaxy s8 w Warranty & More!!",Unlocked,554.99,54,.,fair,Galaxy S8,64,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S8-Unlocked-64GB-US-Version-Midnight-Black-US-Warranty/523592052?st_id=61696335
",Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty,Unlocked,699.89,55,.,good, Galaxy S,64,
Samsung,"https://www.bonanza.com/listings/Samsung-Blast-SGH-T729-Black-T-Mobile-Cellular-Phone/524843821?st_id=61696335
",Samsung Blast SGH-T729 - Black (T-Mobile) Cellular Phone,T-Mobile,14.68,56,.,fair,Blast SGH-T729,2,
Samsung,"https://www.bonanza.com/listings/Unlocked-Samsung-Galaxy-S7-Edge-G935U-At-T-T-MOBILE-Straight-Talk-NET10-3023/522761633
",UNLOCKED SAMSUNG GALAXY S7 EDGE G935U AT&T T-MOBILE STRAIGHT TALK NET10 3023,Unlocked,310.0,57,.,fair, Galaxy S7 edge,32,
Samsung,"https://www.bonanza.com/listings/Samsung-SCH-U410-Black-Verizon-Cellular-Phone/524843807
",Samsung SCH-U410 - Black (Verizon) Cellular Phone,Verizon,11.74,58,.,fair,SCH-U410,8.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-Note-II-SPH-L900-16GB-Marble-White-Sprint-Clean-IMEI-ESN/530388130
",Samsung Galaxy Note II SPH-L900 - 16GB - Marble White (Sprint) Clean IMEI / ESN,Sprint,69.3,59,.,fair,Galaxy Note 2,16,
Samsung,"https://www.bonanza.com/listings/Mint-Samsung-Galaxy-S6-SM-G920F-32GB-Gold-OEM-Factory-Unlocked-5-1-16MP-5MP/527204538
","Mint Samsung Galaxy S6 SM-G920F 32GB Gold OEM Factory Unlocked 5.1"" 16MP 5MP",Unlocked,389.95,60,.,fair, Galaxy S6,32.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Verizon-Cellphone-SCH-U365-Flip-Style-Black/523677108
",Samsung Verizon Cellphone SCH-U365 Flip Style Black,Verizon,12.59,61,.,fair,Verizon,8.0,
Samsung,"https://www.bonanza.com/listings/Good-Samsung-Galaxy-S4-Active-SGH-I537-16GB-Urban-Gray-AT-T-Android/516753628
",Good - Samsung Galaxy S4 Active SGH-I537 16GB Urban Gray (AT&T) Android,AT&T,79.99,62,.,fair, Galaxy S4,16,
Samsung,"https://www.bonanza.com/listings/Samsung-Cell-Phone-Sm-j320az/502066622
",Samsung Cell Phone Sm-j320az,Unlocked,99.0,63,.,fair,Sm-j320AZ,16,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S-III-SCH-I535-16GB-Marble-White-Verizon-Clean-IMEI-ESN/499486526
",Samsung Galaxy S III SCH-I535 - 16GB - Marble White (Verizon) Clean IMEI / ESN,Verizon,64.35,64,.,fair, Galaxy S,1.0,
Samsung,"https://www.bonanza.com/listings/7D-SAMSUNG-Galaxy-Siii-SMARTPHONE-PARTS-Or-Repair-ONLY-NO-CHARGER-DOES-Not-Power/501153798
",7D/SAMSUNG GALAXY SIII SMARTPHONE/PARTS OR REPAIR ONLY/NO CHARGER/DOES NOT POWER,Unlocked,24.7,65,.,fair,Galaxy S3,16.0,
Samsung,"https://www.bonanza.com/listings/Used-Samsung-Grand-Prime-SM-G530R4-US-Cellular-Clean-ESN-U-S-Cellular-Good-702/483589770
",Used Samsung Grand Prime SM-G530R4 US Cellular Clean ESN U S Cellular Good 702,Unlocked,44.87,66,.,fair, Focus 2,1.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S4-for-Verizon-16gb-Used-and-in-excellent-condition/529235408
",Samsung Galaxy S4 for Verizon - 16gb - Used and in excellent condition,Verizon,125.0,67,.,fair,Galaxy S4,16,
Samsung,"https://www.bonanza.com/listings/Samsung-SGH-A437-Slate-AT-T-Cellular-Phone/521168810
",Samsung SGH A437 - Slate (AT&T) Cellular Phone,AT&T,19.58,68,.,fair,SGH-A437,16.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-Amp-Prime-Nokia/475557824
",SAMSUNG GALAXY AMP PRIME@NOKIA,Unlocked,144.93,69,.,fair,Galaxy S,8,"Adapter, Cable"
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S-IV-SGH-I337-Latest-Model-16GB-Black-Mist-Unlocked-Smartphone/517014021
",Samsung Galaxy S IV SGH-I337 Latest Model 16GB Black Mist Unlocked Smartphone,Unlocked,101.89,70,.,fair, Galaxy S4,16,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-SII-Sprint-SPH-D710-Smart-Phone-Black-S2-12-GB-w-1-GB-Micro-SD/449342938
",Samsung Galaxy SII Sprint SPH-D710 Smart Phone Black S2 12 GB w/ 1 GB Micro SD,Sprint,64.99,71,.,fair,Galaxy S2,12,
Samsung,"https://www.bonanza.com/listings/Mint-At-T-Unlocked-Samsung-Galaxy-S7-Active-SM-G891A-32GB-Sandy-Gold-Smartphone/520958275
",MINT AT&T UNLOCKED SAMSUNG GALAXY S7 ACTIVE SM-G891A 32GB SANDY GOLD SMARTPHONE,Unlocked,345.51,72,.,fair,SM-G891A,32,
Samsung,"https://www.bonanza.com/listings/Samsung-GalaxyQ-SGH-T589R-Rogers-Android-Smartphone-Slider-QWERTY-For-Parts/509111703
",Samsung GalaxyQ SGH-T589R Rogers Android Smartphone Slider QWERTY For Parts,Unlocked,9.89,73,.,fair, Focus 2,1.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Acclaim-SCH-R880-Blue-U-S-Cellular-Smartphone-Excellent-/521168797
",Samsung Acclaim SCH-R880 - Blue (U.S. Cellular) Smartphone * Excellent *,Unlocked,14.68,74,.,fair,Acclaim SCH-R880,32,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-Victory-SPH-L300-Gray-4GB-Lte-Sprint-Used-Without-CONTRACT-new/517208145
",SAMSUNG GALAXY VICTORY SPH-L300 GRAY 4GB LTE SPRINT USED WITHOUT CONTRACT/new,Sprint,49.39,75,.,good, Galaxy S,1.0,
Samsung,"https://www.bonanza.com/listings/Mint-Samsung-Galaxy-Note-4-SM-N910A-32GB-Unlocked-White-Quad-Hd-5-7-16MP-Nfc-Ir/508017060
","Mint Samsung Galaxy Note 4 SM-N910A 32GB UNLOCKED White quadHD 5.7"" 16MP NFC IR",Unlocked,269.95,76,.,fair, Galaxy Note 4,32,
Samsung,"https://www.bonanza.com/listings/Unlocked-Samsung-Galaxy-S4-SGH-I337-4G-Lte-16GB-Reed-At-T-T-Mobile-Cell-Phone/511989367
",UNLOCKED SAMSUNG GALAXY S4 SGH-I337 4G LTE 16GB REED (AT&T T-Mobile) CELL PHONE,Unlocked,94.0,77,.,fair, Galaxy S4,16,
Samsung,"https://www.bonanza.com/listings/Samsung-Intensity-II-SCH-U460-Gray-Verizon-Cellular-Phone-Very-Good-/521168835
",Samsung Intensity II SCH-U460 - Gray (Verizon) Cellular Phone * Very Good *,Verizon,16.64,78,.,fair,Intensity II SCH-U460,32,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-J2-SM-G532M-Unlocked-Us-Latin-Gold-International-Desbloqueado/505641792
",Samsung Galaxy J2 SM-G532M Unlocked US & Latin Gold INTERNATIONAL Desbloqueado,Unlocked,143.59,79,.,good, Galaxy S,1.0,
Samsung,"https://www.bonanza.com/listings/Samsung-galaxy-j1-prepaid-phone/510697999
",Samsung galaxy j1 prepaid phone,Unlocked,40.0,80,.,fair,Galaxy Jl,8,
Samsung,"https://www.bonanza.com/listings/Mint-Samsung-Galaxy-S6-Edge-Plus-32GB-Black-Unlocked-AT-T-T-Mobile-LCD-Ghost/529630681
",Mint Samsung Galaxy S6 Edge Plus 32GB Black Unlocked AT&T T-Mobile LCD Ghost,Unlocked,247.45,81,.,fair,Galaxy S6 Edge Plus,32.0,"Adaptor, Cable"
Samsung,"https://www.bonanza.com/listings/Samsung-Gravity-T-SGH-T669-Black-T-Mobile-Cellular-Phone/523534516
",Samsung Gravity T SGH-T669 - Black (T-Mobile) Cellular Phone,T-Mobile,16.64,82,.,fair,Gravity T SGH-T669,16,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-Tab-S2-SM-T817A-32GB-Wi-Fi-4G-At-T-Gsm-Unlocked-Black/527259415
",Samsung Galaxy Tab S2 | SM-T817A - 32GB Wi-Fi + 4G AT&T (GSM UNLOCKED) - Black,Unlocked,149.5,84,.,fair,Tab S2,32,
Samsung,"https://www.bonanza.com/listings/Used-Samsung-Galaxy-Grand-Prime-SM-S920L-Tracfone-Clean-ESN-Grey-8GB-Good-843/499148175
",Used Samsung Galaxy Grand Prime SM-S920L Tracfone Clean ESN Grey 8GB Good 843,Unlocked,41.14,85,.,fair, Galaxy S,1.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-Note-2-SGH-i317-Does-not-charge-or-power-up/530884735
",Samsung Galaxy Note 2 SGH-i317 - Does not charge or power up,Unlocked,39.59,86,.,fair,Galaxy Note 2,16.0,
Samsung,"https://www.bonanza.com/listings/Good-Samsung-Galaxy-S6-G920A-32-GB-Sapphire-Black-AT-T-GSM-Unlocked-T-Mobile/522465937
",Good - Samsung Galaxy S6 G920A 32 GB Sapphire Black AT&T GSM Unlocked T-Mobile,Unlocked,174.99,87,.,fair, Galaxy S6,32,
Samsung,"https://www.bonanza.com/listings/Outstanding-Mint-Mint-Black-Unlocked-T-mobile-Samsung-S8-Plus-More-/521259347
","Outstanding ""Mint"" ""Mint"" Black Unlocked T-mobile Samsung S8 Plus & More!!",Unlocked,614.99,88,.,fair,Galaxy S8 Plus,64,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S5-SM-G900V-16-GB-Black-Verizon/505593176
",Samsung Galaxy S5 SM-G900V 16 GB Black Verizon,Verizon,79.95,89,.,fair,Galaxy S5,16,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-J2-Prime-2016-Unlocked-SM-G532M-Duos-4G-LTE-US/503518181
",Samsung Galaxy J2 Prime 2016 Unlocked SM-G532M Duos 4G LTE US,Unlocked,168.29,90,.,good, Galaxy J2,8.0,
Samsung,"https://www.bonanza.com/listings/Blue-Samsung-Galaxy-S7-Edge-T-MOBILE-G935T-Metro-Pcs-Straight-Talk-Great-3019/522652306
",BLUE SAMSUNG GALAXY S7 EDGE T-MOBILE G935T METRO PCS STRAIGHT TALK GREAT 3019,T-Mobile,305.0,91,.,fair, Galaxy S7 edge,32,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S6-Edge-Plus-64GB-Gold-GSM-Unlocked-AT-T-Smartphone-Ghost/523565908
",Samsung Galaxy S6 Edge Plus 64GB Gold GSM Unlocked AT&T Smartphone Ghost,Unlocked,257.35,92,.,fair,Galaxy S6 Edge Plus,64,"Adaptor, Cable"
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S5-SM-G900W8-16GB-White-Unlocked-Smartphone-WIND-30-Days-Warranty/508445847
",Samsung Galaxy S5 SM-G900W8 16GB White Unlocked Smartphone WIND 30 Days Warranty,Unlocked,141.93,93,.,fair, Galaxy S5,16,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-Ace-Onyx-Black-Unlocked-/515487632
",SAMSUNG GALAXY ACE - ONYX BLACK (Unlocked),Unlocked,25.05,94,.,fair, Galaxy Ace Duos,16.0,
Samsung,"https://www.bonanza.com/listings/Excellent-Mint-Silver-US-Cellular-Samsung-Galaxy-s8-More-/522039808
",Excellent Mint Silver US Cellular Samsung Galaxy s8 & More!!,Unlocked,539.99,95,.,fair,Galaxy S8,64,
Samsung,"https://www.bonanza.com/listings/Samsung-SGH-T528G-Tracfone/494779837
",Samsung SGH-T528G Tracfone,Unlocked,12,96,.,fair,sgh-t528gtracfone,8.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Rugby-III-SGH-A997-Black-AT-T-Cellular-Phone/522056267
",Samsung Rugby III SGH-A997 - Black (AT&T) Cellular Phone,AT&T,16.64,97,.,fair,Rugby III SGH-A997,32,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S4-Mini-16GB-US-Cellular-Black-White-/443271609
",Samsung Galaxy S4 Mini 16GB US Cellular (Black/White),Unlocked,69.49,99,.,fair, Galaxy S4 Mini,8,
Samsung,"https://www.bonanza.com/listings/Samsung-Cell-Phone-Sm-j327p/530934509
",Samsung Cell Phone Sm-j327p,Unlocked,99.0,101,.,fair,Galaxy J3,16,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S8-and-S8-64GB-Unlocked-Phone-US-Version-Midnight-Black-/503518177
",Samsung Galaxy S8 and S8+ 64GB Unlocked Phone - US Version (Midnight Black),Unlocked,741.99,102,.,good, Galaxy S,64,
